"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget","Director","FB_likes","YoutubeViews"
"1","Star Wars: The Force Awakens","/movies/?id=starwars7.htm",936662225,"Buena Vista","December","Sci-Fi Fantasy",136,"PG-13",245,"J.J. Abrams",33621,98264380
"2","Avatar","/movies/?id=avatar.htm",749766139,"Fox","December","Sci-Fi Adventure",160,"PG-13",NA,"James Cameron",47738193,4213302
"3","Jurassic World","/movies/?id=jurassicpark4.htm",652270625,"Universal","June","Action / Adventure",124,"PG-13",150,"Colin Trevorrow",7844205,83518049
"4","Marvel's The Avengers","/movies/?id=avengers11.htm",623357910,"Buena Vista","May","Action / Adventure",142,"PG-13",220,"Joss Whedon",390764,26219480
"5","Titanic","/movies/?id=titanic.htm",600788188,"Paramount","December","Romance",194,"PG-13",200,"James Cameron",13217,2464912
"6","The Dark Knight","/movies/?id=darkknight.htm",533345358,"Warner Bros.","July","Action / Adventure",150,"PG-13",185,"Christopher Nolan",16889873,4820464
"7","Rogue One: A Star Wars Story","/movies/?id=starwars2016.htm",532177324,"Buena Vista","December","Sci-Fi Adventure",133,"PG-13",200,"Gareth Edwards",189107,35176770
"8","Beauty and the Beast (2017)","/movies/?id=beautyandthebeast2017.htm",502604446,"Buena Vista","March","Fantasy",129,"PG",160,"Bill Condon",2322,2911989
"9","Finding Dory","/movies/?id=pixar2015.htm",486295561,"Buena Vista","June","Animation",103,"PG",NA,"Angus MacLane ",3105253,30104712
"10","Avengers: Age of Ultron","/movies/?id=avengers2.htm",459005868,"Buena Vista","May","Action / Adventure",141,"PG-13",250,"Joss Whedon",487389,80533615
"11","The Dark Knight Rises","/movies/?id=batman3.htm",448139099,"Warner Bros.","July","Action Thriller",165,"PG-13",250,"Christopher Nolan",6099775,32385654
"12","Shrek 2","/movies/?id=shrek2.htm",441226247,"DreamWorks","May","Animation",93,"PG",150,"Andrew Adamson",2749312,2454437
"13","Star Wars: Episode I - The Phantom Menace","/movies/?id=starwars.htm",431088295,"Fox","May","Sci-Fi Fantasy",133,"PG",115,"George Lucas",7722,2841858
"14","The Hunger Games: Catching Fire","/movies/?id=catchingfire.htm",424668047,"Lionsgate","November","Action / Adventure",146,"PG-13",130,"Francis Lawrence",5853,11833227
