"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"1","Star Wars: The Force Awakens","/movies/?id=starwars7.htm",936662225,"Buena Vista","December","Sci-Fi Fantasy",136,"PG-13",245,"J.J. Abrams"
"2","Avatar","/movies/?id=avatar.htm",749766139,"Fox","December","Sci-Fi Adventure",160,"PG-13",NA,"James Cameron"
"3","Jurassic World","/movies/?id=jurassicpark4.htm",652270625,"Universal","June","Action / Adventure",124,"PG-13",150,"Colin Trevorrow"
"4","Marvel's The Avengers","/movies/?id=avengers11.htm",623357910,"Buena Vista","May","Action / Adventure",142,"PG-13",220,"Joss Whedon"
"5","Titanic","/movies/?id=titanic.htm",600788188,"Paramount","December","Romance",194,"PG-13",200,"James Cameron"
"6","The Dark Knight","/movies/?id=darkknight.htm",533345358,"Warner Bros.","July","Action / Adventure",150,"PG-13",185,"Christopher Nolan"
"7","Rogue One: A Star Wars Story","/movies/?id=starwars2016.htm",532177324,"Buena Vista","December","Sci-Fi Adventure",133,"PG-13",200,"Gareth Edwards"
"8","Beauty and the Beast (2017)","/movies/?id=beautyandthebeast2017.htm",502604446,"Buena Vista","March","Fantasy",129,"PG",160,"Bill Condon"
"9","Finding Dory","/movies/?id=pixar2015.htm",486295561,"Buena Vista","June","Animation",103,"PG",NA,"Angus MacLane "
"10","Avengers: Age of Ultron","/movies/?id=avengers2.htm",459005868,"Buena Vista","May","Action / Adventure",141,"PG-13",250,"Joss Whedon"
"11","The Dark Knight Rises","/movies/?id=batman3.htm",448139099,"Warner Bros.","July","Action Thriller",165,"PG-13",250,"Christopher Nolan"
"12","Shrek 2","/movies/?id=shrek2.htm",441226247,"DreamWorks","May","Animation",93,"PG",150,"Andrew Adamson"
"13","Star Wars: Episode I - The Phantom Menace","/movies/?id=starwars.htm",431088295,"Fox","May","Sci-Fi Fantasy",133,"PG",115,"George Lucas"
"14","The Hunger Games: Catching Fire","/movies/?id=catchingfire.htm",424668047,"Lionsgate","November","Action / Adventure",146,"PG-13",130,"Francis Lawrence"
"15","Pirates of the Caribbean: Dead Man's Chest","/movies/?id=piratesofthecaribbean2.htm",423315812,"Buena Vista","July","Period Adventure",151,"PG-13",225,"Gore Verbinski"
"16","Toy Story 3","/movies/?id=toystory3.htm",415004880,"Buena Vista","June","Animation",103,"G",200,"Lee Unkrich"
"17","Iron Man 3","/movies/?id=ironman3.htm",409013994,"Buena Vista","May","Action / Adventure",129,"PG-13",200,"Shane Black"
"18","Captain America: Civil War","/movies/?id=marvel2016.htm",408084349,"Buena Vista","May","Action / Adventure",147,"PG-13",250,"Anthony Russo"
"19","The Hunger Games","/movies/?id=hungergames.htm",408010692,"Lionsgate","March","Action / Adventure",142,"PG-13",78,"Gary Ross"
"20","Spider-Man","/movies/?id=spiderman.htm",403706375,"Sony / Columbia","May","Action / Adventure",121,"PG-13",139,"Sam Raimi"
"21","Transformers: Revenge of the Fallen","/movies/?id=transformers2.htm",402111870,"Paramount (DreamWorks)","June","Sci-Fi Action",144,"PG-13",200,"Michael Bay"
"22","Frozen","/movies/?id=frozen2013.htm",400738009,"Buena Vista","November","Animation",108,"PG",150,"Chris Buck"
"23","Harry Potter and the Deathly Hallows Part 2","/movies/?id=harrypotter72.htm",381011219,"Warner Bros.","July","Fantasy",130,"PG-13",NA,"David Yates"
"24","Star Wars: Episode III - Revenge of the Sith","/movies/?id=starwars3.htm",380270577,"Fox","May","Sci-Fi Fantasy",146,"PG-13",113,"George Lucas"
"25","The Lord of the Rings: The Return of the King","/movies/?id=returnoftheking.htm",377027325,"New Line","December","Fantasy",200,"PG-13",94,"Peter Jackson"
"26","Spider-Man 2","/movies/?id=spiderman2.htm",373585825,"Sony / Columbia","June","Action / Adventure",127,"PG-13",200,"Sam Raimi"
"27","The Passion of the Christ","/movies/?id=passionofthechrist.htm",370274604,"Newmarket","February","Historical Drama",126,"R",30,"Mel Gibson"
"28","The Secret Life of Pets","/movies/?id=illumination2015.htm",368384330,"Universal","July","Animation",90,"PG",75,"Chris Renaud"
"29","Despicable Me 2","/movies/?id=despicableme2.htm",368061265,"Universal","July","Animation",98,"PG",76,"Pierre Coffin"
"30","The Jungle Book (2016)","/movies/?id=junglebook2015.htm",364001123,"Buena Vista","April","Adventure",105,"PG",175,"Jon Favreau"
"31","Deadpool","/movies/?id=deadpool2016.htm",363070709,"Fox","February","Action",106,"R",58,"Tim Miller"
"32","Guardians of the Galaxy Vol. 2","/movies/?id=marvel17a.htm",361808172,"Buena Vista","May","Action / Adventure",137,"PG-13",200,"James Gunn"
"33","Inside Out","/movies/?id=pixar2014.htm",356461711,"Buena Vista","June","Animation",94,"PG",175,"Pete Docter"
"34","Furious 7","/movies/?id=fast7.htm",353007020,"Universal","April","Action",137,"PG-13",190,"James Wan"
"35","Transformers: Dark of the Moon","/movies/?id=transformers3.htm",352390543,"Paramount (DreamWorks)","June","Sci-Fi Action",154,"PG-13",195,"Michael Bay"
"36","American Sniper","/movies/?id=americansniper.htm",350126372,"Warner Bros.","December","Drama",132,"R",588,"Clint Eastwood"
"37","Zootopia","/movies/?id=disney2016.htm",341268248,"Buena Vista","March","Animation",108,"PG",NA,"Byron Howard"
"38","The Lord of the Rings: The Two Towers","/movies/?id=twotowers.htm",339789881,"New Line","December","Fantasy",179,"PG-13",94,"Peter Jackson"
"39","Finding Nemo","/movies/?id=findingnemo.htm",339714978,"Buena Vista","May","Animation",104,"G",94,"Andrew Stanton"
"40","The Hunger Games: Mockingjay - Part 1","/movies/?id=hungergames3.htm",337135885,"Lionsgate","November","Action / Adventure",123,"PG-13",125,"Francis Lawrence"
"41","Spider-Man 3","/movies/?id=spiderman3.htm",336530303,"Sony / Columbia","May","Action / Adventure",140,"PG-13",258,"Sam Raimi"
"42","Minions","/movies/?id=minions.htm",336045770,"Universal","July","Animation",91,"PG",74,"Pierre Coffin"
"43","Alice in Wonderland (2010)","/movies/?id=aliceinwonderland10.htm",334191110,"Buena Vista","March","Family Adventure",109,"PG",200,"Tim Burton"
"44","Guardians of the Galaxy","/movies/?id=marvel2014a.htm",333176600,"Buena Vista","August","Action / Adventure",121,"PG-13",170,"James Gunn"
"45","Batman v Superman: Dawn of Justice","/movies/?id=superman2015.htm",330360194,"Warner Bros.","March","Action / Adventure",151,"PG-13",250,"Zack Snyder"
"46","Suicide Squad","/movies/?id=dc2016.htm",325100054,"Warner Bros.","August","Action / Adventure",130,"PG-13",175,"David Ayer"
"47","Shrek the Third","/movies/?id=shrek3.htm",322719944,"Paramount (DreamWorks)","May","Animation",92,"PG",160,"Chris Miller"
"48","Transformers","/movies/?id=transformers06.htm",319246193,"Paramount (DreamWorks)","July","Sci-Fi Action",143,"PG-13",150,"Michael Bay"
"49","Iron Man","/movies/?id=ironman.htm",318412101,"Paramount","May","Action / Adventure",126,"PG-13",140,"Jon Favreau"
"50","Harry Potter and the Sorcerer's Stone","/movies/?id=harrypotter.htm",317575550,"Warner Bros.","November","Fantasy",153,"PG",125,"Chris Columbus"
"51","Indiana Jones and the Kingdom of the Crystal Skull","/movies/?id=indianajones4.htm",317101119,"Paramount","May","Period Adventure",120,"PG-13",185,"Steven Spielberg"
"52","The Lord of the Rings: The Fellowship of the Ring","/movies/?id=fellowshipofthering.htm",313364114,"New Line","December","Fantasy",178,"PG-13",93,"Peter Jackson"
"53","Iron Man 2","/movies/?id=ironman2.htm",312433331,"Paramount","May","Action / Adventure",125,"PG-13",200,"Jon Favreau"
"54","Pirates of the Caribbean: At World's End","/movies/?id=piratesofthecaribbean3.htm",309420425,"Buena Vista","May","Period Adventure",168,"PG-13",300,"Gore Verbinski"
"55","Independence Day","/movies/?id=independenceday.htm",306169268,"Fox","July","Sci-Fi Action",153,"PG-13",75,"Roland Emmerich"
"56","Pirates of the Caribbean: The Curse of the Black Pearl","/movies/?id=piratesofthecaribbean.htm",305413918,"Buena Vista","July","Period Adventure",135,"PG-13",140,"Gore Verbinski"
"57","Skyfall","/movies/?id=bond23.htm",304360277,"Sony / Columbia","November","Action",143,"PG-13",200,"Sam Mendes"
"58","The Hobbit: An Unexpected Journey","/movies/?id=hobbit.htm",303003568,"Warner Bros. (New Line)","December","Fantasy",166,"PG-13",NA,"Peter Jackson"
"59","Star Wars: Episode II - Attack of the Clones","/movies/?id=starwars2.htm",302191252,"Fox","May","Sci-Fi Fantasy",132,"PG",115,"George Lucas"
"60","Harry Potter and the Half-Blood Prince","/movies/?id=harrypotter6.htm",301959197,"Warner Bros.","July","Fantasy",153,"PG",250,"David Yates"
"61","The Twilight Saga: Eclipse","/movies/?id=eclipse.htm",300531751,"Summit Entertainment","June","Romance",124,"PG-13",68,"David Slade"
"62","The Twilight Saga: New Moon","/movies/?id=newmoon.htm",296623634,"Summit Entertainment","November","Romance",130,"PG-13",50,"Chris Weitz"
"63","Harry Potter and the Deathly Hallows Part 1","/movies/?id=harrypotter7.htm",295983305,"Warner Bros.","November","Fantasy",150,"PG-13",NA,"David Yates"
"64","The Sixth Sense","/movies/?id=sixthsense.htm",293506292,"Buena Vista","August","Horror",107,"PG-13",40,"M. Night Shyamalan"
"65","Up","/movies/?id=up.htm",293004164,"Buena Vista","May","Animation",96,"PG",175,"Pete Docter"
"66","Inception","/movies/?id=inception.htm",292576195,"Warner Bros.","July","Sci-Fi Action",148,"PG-13",160,"Christopher Nolan"
"67","The Twilight Saga: Breaking Dawn Part 2","/movies/?id=breakingdawn2.htm",292324737,"Lionsgate/Summit","November","Romance",116,"PG-13",120,"Bill Condon"
"68","Harry Potter and the Order of the Phoenix","/movies/?id=harrypotter5.htm",292004738,"Warner Bros.","July","Fantasy",139,"PG-13",150,"David Yates"
"69","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","/movies/?id=narnia.htm",291710957,"Buena Vista","December","Fantasy",132,"PG",180,"Andrew Adamson"
"70","Man of Steel","/movies/?id=superman2012.htm",291045518,"Warner Bros.","June","Action / Adventure",143,"PG-13",225,"Zack Snyder"
"71","Harry Potter and the Goblet of Fire","/movies/?id=harrypotter4.htm",290013036,"Warner Bros.","November","Fantasy",153,"PG-13",150,"Mike Newell"
"72","The Hunger Games: Mockingjay - Part 2","/movies/?id=hungergames4.htm",281723902,"Lionsgate","November","Action / Adventure",137,"PG-13",160,"Francis Lawrence"
"73","The Matrix Reloaded","/movies/?id=matrixreloaded.htm",281576461,"Warner Bros.","May","Sci-Fi Action",138,"R",150,"Lilly & Lana Wachowski"
"74","The Twilight Saga: Breaking Dawn Part 1","/movies/?id=breakingdawn.htm",281287133,"Summit Entertainment","November","Romance",108,"PG-13",110,"Bill Condon"
"75","Meet the Fockers","/movies/?id=meetthefockers.htm",279261160,"Universal","December","Comedy",114,"PG-13",80,"Jay Roach"
"76","The Hangover","/movies/?id=hangover.htm",277322503,"Warner Bros.","June","Comedy",96,"R",35,"Todd Phillips"
"77","Gravity","/movies/?id=gravity.htm",274092705,"Warner Bros.","October","Sci-Fi Thriller",91,"PG-13",100,"Alfonso Cuaron"
"78","Sing","/movies/?id=illumination2016.htm",270329045,"Universal","December","Animation",110,"PG",75,"Garth Jennings"
"79","Monsters University","/movies/?id=monstersinc2.htm",268492764,"Buena Vista","June","Animation",107,"G",NA,"Dan Scanlon"
"80","Shrek","/movies/?id=shrek.htm",267665011,"DreamWorks","May","Animation",90,"PG",60,"Andrew Adamson"
"81","The Amazing Spider-Man","/movies/?id=spiderman4.htm",262030663,"Sony / Columbia","July","Action / Adventure",136,"PG-13",230,"Marc Webb"
"82","Harry Potter and the Chamber of Secrets","/movies/?id=harrypotter2.htm",261988482,"Warner Bros.","November","Fantasy",161,"PG",100,"Chris Columbus"
"83","The Incredibles","/movies/?id=incredibles.htm",261441092,"Buena Vista","November","Animation",115,"PG",92,"Brad Bird"
"84","How the Grinch Stole Christmas","/movies/?id=grinch.htm",260044825,"Universal","November","Family Comedy",104,"PG",123,"Ron Howard"
"85","Captain America: The Winter Soldier","/movies/?id=marvel14b.htm",259766572,"Buena Vista","April","Action / Adventure",136,"PG-13",170,"Anthony Russo"
"86","The Hobbit: The Desolation of Smaug","/movies/?id=hobbit2.htm",258366855,"Warner Bros. (New Line)","December","Fantasy",161,"PG-13",NA,"Peter Jackson"
"87","The LEGO Movie","/movies/?id=lego.htm",257760692,"Warner Bros.","February","Animation",100,"PG",60,"Phil Lord"
"88","Star Trek","/movies/?id=startrek11.htm",257730019,"Paramount","May","Sci-Fi Adventure",126,"PG-13",150,"J.J. Abrams"
"89","I Am Legend","/movies/?id=iamlegend.htm",256393010,"Warner Bros.","December","Sci-Fi Horror",100,"PG-13",150,"Francis Lawrence"
"90","The Blind Side","/movies/?id=blindside.htm",255959475,"Warner Bros.","November","Sports Drama",126,"PG-13",29,"John Lee Hancock"
"91","Monsters, Inc.","/movies/?id=monstersinc.htm",255873250,"Buena Vista","November","Animation",90,"G",115,"Pete Docter"
"92","The Hobbit: The Battle of the Five Armies","/movies/?id=hobbit3.htm",255119788,"Warner Bros. (New Line)","December","Fantasy",144,"PG-13",NA,"Peter Jackson"
"93","The Hangover Part II","/movies/?id=hangover2.htm",254464305,"Warner Bros.","May","Comedy",102,"R",80,"Todd Phillips"
"94","Despicable Me","/movies/?id=despicableme.htm",251513985,"Universal","July","Animation",95,"PG",69,"Pierre Coffin"
"95","Night at the Museum","/movies/?id=nightatthemuseum.htm",250863268,"Fox","December","Family Adventure",108,"PG",NA,"Shawn Levy"
"96","Men in Black","/movies/?id=meninblack.htm",250690539,"Sony / Columbia","July","Sci-Fi Comedy",97,"PG-13",90,"Barry Sonnenfeld"
"97","Harry Potter and the Prisoner of Azkaban","/movies/?id=harrypotter3.htm",249541069,"Warner Bros.","June","Fantasy",142,"PG",130,"Alfonso Cuaron"
"98","Moana","/movies/?id=disney1116.htm",248757044,"Buena Vista","November","Animation",103,"PG",NA,"Ron Clements"
"99","Toy Story 2","/movies/?id=toystory2.htm",245852179,"Buena Vista","November","Animation",92,"G",90,"John Lasseter"
"100","Transformers: Age of Extinction","/movies/?id=transformers4.htm",245439076,"Paramount","June","Sci-Fi Action",165,"PG-13",210,"Michael Bay"
"101","Cars","/movies/?id=cars.htm",244082982,"Buena Vista","June","Animation",116,"G",120,"John Lasseter"
"102","Bruce Almighty","/movies/?id=brucealmighty.htm",242829261,"Universal","May","Fantasy Comedy",101,"PG-13",81,"Tom Shadyac"
"103","Twister","/movies/?id=twister.htm",241721524,"Warner Bros.","May","Action Drama",113,"PG-13",92,"Jan DeBont"
"104","My Big Fat Greek Wedding","/movies/?id=mybigfatgreekwedding.htm",241438208,"IFC","April","Romantic Comedy",95,"PG",5,NA
"105","Maleficent","/movies/?id=maleficient.htm",241410378,"Buena Vista","May","Fantasy",97,"PG",180,"Robert Stromberg"
"106","Pirates of the Caribbean: On Stranger Tides","/movies/?id=piratesofthecaribbean4.htm",241071802,"Buena Vista","May","Period Adventure",137,"PG-13",250,"Rob Marshall"
"107","Shrek Forever After","/movies/?id=shrek4.htm",238736787,"Paramount (DreamWorks)","May","Animation",93,"PG",165,"Mike Mitchell"
"108","Fast & Furious 6","/movies/?id=fast6.htm",238679850,"Universal","May","Action",130,"PG-13",160,"Justin Lin"
"109","Brave","/movies/?id=bearandthebow.htm",237283207,"Buena Vista","June","Animation",100,"PG",185,"Mark Andrews"
"110","Oz The Great and Powerful","/movies/?id=oz.htm",234911825,"Buena Vista","March","Adventure",127,"PG",215,"Sam Raimi"
"111","X-Men: The Last Stand","/movies/?id=x3.htm",234362462,"Fox","May","Action / Adventure",104,"PG-13",210,"Brett Ratner"
"112","War of the Worlds","/movies/?id=waroftheworlds.htm",234280354,"Paramount","June","Sci-Fi Horror",117,"PG-13",132,"Steven Spielberg"
"113","Fantastic Beasts and Where To Find Them","/movies/?id=fantasticbeasts.htm",234037575,"Warner Bros.","November","Fantasy",140,"PG-13",180,"David Yates"
"114","X-Men: Days of Future Past","/movies/?id=xmen2014.htm",233921534,"Fox","May","Action / Adventure",131,"PG-13",200,"Bryan Singer"
"115","Cast Away","/movies/?id=castaway.htm",233632142,"Fox","December","Drama",143,"PG-13",90,"Robert Zemeckis"
"116","Doctor Strange","/movies/?id=marvel716.htm",232641920,"Buena Vista","November","Action / Adventure",115,"PG-13",165,"Scott Derrickson"
"117","The Lost World: Jurassic Park","/movies/?id=jurassicpark2.htm",229086679,"Universal","May","Sci-Fi Horror",129,"PG-13",73,"Steven Spielberg"
"118","Star Trek Into Darkness","/movies/?id=startrek12.htm",228778661,"Paramount","May","Sci-Fi Adventure",123,"PG-13",190,"J.J. Abrams"
"119","The Martian","/movies/?id=scott2016.htm",228433663,"Fox","October","Sci-Fi",141,"PG-13",108,"Ridley Scott"
"120","Signs","/movies/?id=signs.htm",227966634,"Buena Vista","August","Sci-Fi Horror",107,"PG-13",72,"M. Night Shyamalan"
"121","Hancock","/movies/?id=hancock.htm",227946274,"Sony / Columbia","July","Fantasy Drama",92,"PG-13",150,"Peter Berg"
"122","The Bourne Ultimatum","/movies/?id=bourneultimatum.htm",227471070,"Universal","August","Action Thriller",111,"PG-13",110,"Paul Greengrass"
"123","Logan","/movies/?id=wolverine2017.htm",226209526,"Fox","March","Action / Adventure",135,"R",97,"James Mangold"
"124","Rush Hour 2","/movies/?id=rushhour2.htm",226164286,"New Line","August","Action Comedy",90,"PG-13",90,"Brett Ratner"
"125","The Fate of the Furious","/movies/?id=furious8.htm",224064865,"Universal","April","Action",136,"PG-13",250,"F. Gary Gray"
"126","WALL-E","/movies/?id=wall-e.htm",223808164,"Buena Vista","June","Animation",97,"G",180,"Andrew Stanton"
"127","Big Hero 6","/movies/?id=disney2014.htm",222527828,"Buena Vista","November","Animation",108,"PG",165,"Don Hall"
"128","National Treasure: Book of Secrets","/movies/?id=nationaltreasure2.htm",219964115,"Buena Vista","December","Adventure",124,"PG",NA,"Jon Turteltaub"
"129","Alvin and the Chipmunks: The Squeakquel","/movies/?id=alvinandthechipmunksii.htm",219614612,"Fox","December","Family Comedy",88,"PG",75,"Betty Thomas"
"130","Ted","/movies/?id=ted.htm",218815487,"Universal","June","Comedy",106,"R",50,"Seth MacFarlane"
"131","King Kong","/movies/?id=kingkong05.htm",218080025,"Universal","December","Period Adventure",187,"PG-13",207,"Peter Jackson"
"132","How to Train Your Dragon","/movies/?id=howtotrainyourdragon.htm",217581231,"Paramount (DreamWorks)","March","Animation",98,"PG",165,"Dean DeBlois"
"133","The Da Vinci Code","/movies/?id=davincicode.htm",217536138,"Sony / Columbia","May","Thriller",149,"PG-13",125,"Ron Howard"
"134","Alvin and the Chipmunks","/movies/?id=alvinandthechipmunks.htm",217326974,"Fox","December","Family Comedy",92,"PG",60,"Tim Hill"
"135","Saving Private Ryan","/movies/?id=savingprivateryan.htm",216540909,"DreamWorks","July","War",170,"R",70,"Steven Spielberg"
"136","Madagascar 3: Europe's Most Wanted","/movies/?id=madagascar3.htm",216391482,"Paramount (DreamWorks)","June","Animation",93,"PG",145,"Eric Darnell"
"137","Kung Fu Panda","/movies/?id=kungfupanda.htm",215434591,"Paramount (DreamWorks)","June","Animation",91,"PG",130,NA
"138","Mission: Impossible II","/movies/?id=mi2.htm",215409889,"Paramount","May","Action",123,"PG-13",125,"John Woo"
"139","X2: X-Men United","/movies/?id=x2.htm",214949694,"Fox","May","Action / Adventure",134,"PG-13",110,"Bryan Singer"
"140","Dr. Seuss' The Lorax","/movies/?id=lorax.htm",214030500,"Universal","March","Animation",95,"PG",70,"Chris Renaud"
"141","Austin Powers in Goldmember","/movies/?id=austinpowers3.htm",213307889,"New Line","July","Comedy",94,"PG-13",63,"Jay Roach"
"142","300","/movies/?id=300.htm",210614939,"Warner Bros.","March","Period Action",117,"R",65,"Zack Snyder"
"143","Fast Five","/movies/?id=fastfive.htm",209837675,"Universal","April","Action",130,"PG-13",125,"Justin Lin"
"144","Mission: Impossible - Ghost Protocol","/movies/?id=mi4.htm",209397903,"Paramount","December","Action",132,"PG-13",145,"Brad Bird"
"145","Wedding Crashers","/movies/?id=weddingcrashers.htm",209255921,"New Line","July","Comedy",113,"R",40,"David Dobkin"
"146","Sherlock Holmes","/movies/?id=sherlockholmes.htm",209028679,"Warner Bros.","December","Adventure",134,"PG-13",90,"Guy Ritchie"
"147","Dawn of the Planet of the Apes","/movies/?id=dawnoftheapes.htm",208545589,"Fox","July","Sci-Fi Action",130,"PG-13",170,"Matt Reeves"
"148","Charlie and the Chocolate Factory","/movies/?id=charliechocolate.htm",206459076,"Warner Bros.","July","Family Adventure",106,"PG",150,"Tim Burton"
"149","Ratatouille","/movies/?id=ratatouille.htm",206445654,"Buena Vista","June","Animation",111,"G",150,"Brad Bird"
"150","Thor: The Dark World","/movies/?id=thor2.htm",206362140,"Buena Vista","November","Action / Adventure",120,"PG-13",170,"Alan Taylor"
"151","Austin Powers: The Spy Who Shagged Me","/movies/?id=austinpowers2.htm",206040086,"New Line","June","Comedy",95,"PG-13",33,"Jay Roach"
"152","Batman Begins","/movies/?id=batmanbegins.htm",205343774,"Warner Bros.","June","Action / Adventure",140,"PG-13",150,"Christopher Nolan"
"153","The Amazing Spider-Man 2","/movies/?id=amazingspiderman2.htm",202853933,"Sony / Columbia","May","Action / Adventure",142,"PG-13",NA,"Marc Webb"
"154","World War Z","/movies/?id=worldwarz.htm",202359711,"Paramount","June","Action Horror",116,"PG-13",190,"Marc Forster"
"155","The Mummy Returns","/movies/?id=mummyreturns.htm",202019785,"Universal","May","Period Adventure",130,"PG-13",98,"Stephen Sommers"
"156","Armageddon","/movies/?id=armageddon.htm",201578182,"Buena Vista","July","Sci-Fi Action",144,"PG-13",140,"Michael Bay"
"157","Cinderella (2015)","/movies/?id=cinderella2015.htm",201151353,"Buena Vista","March","Fantasy",112,"PG",95,"Kenneth Branagh"
"158","Tangled","/movies/?id=rapunzel.htm",200821936,"Buena Vista","November","Animation",100,"PG",260,"Nathan Greno"
"159","Godzilla (2014)","/movies/?id=godzilla2012.htm",200676069,"Warner Bros.","May","Sci-Fi Action",123,"PG-13",160,"Gareth Edwards"
"160","Superman Returns","/movies/?id=superman06.htm",200081192,"Warner Bros.","June","Action / Adventure",154,"PG-13",270,"Bryan Singer"
"161","Spectre","/movies/?id=bond24.htm",200074609,"Sony / Columbia","November","Action",148,"PG-13",245,"Sam Mendes"
"162","Pearl Harbor","/movies/?id=pearlharbor.htm",198542554,"Buena Vista","May","War",183,"PG-13",140,"Michael Bay"
"163","Monsters Vs. Aliens","/movies/?id=monstersvsaliens.htm",198351526,"Paramount (DreamWorks)","March","Animation",94,"PG",175,"Rob Letterman"
"164","Happy Feet","/movies/?id=happyfeet.htm",198000317,"Warner Bros.","November","Animation",108,"PG",100,"George Miller"
"165","Ice Age: Dawn of the Dinosaurs","/movies/?id=iceage3.htm",196573705,"Fox","July","Animation",87,"PG",90,"Carlos Saldanha"
"166","Ice Age: The Meltdown","/movies/?id=iceage2.htm",195330621,"Fox","March","Animation",90,"PG",80,"Carlos Saldanha"
"167","Mission: Impossible - Rogue Nation","/movies/?id=mi5.htm",195042377,"Paramount","July","Action",130,"PG-13",150,"Christopher McQuarrie"
"168","Madagascar","/movies/?id=madagascar.htm",193595521,"DreamWorks","May","Animation",86,"PG",NA,"Eric Darnell"
"169","Twilight","/movies/?id=twilight08.htm",192769854,"Summit Entertainment","November","Romance",120,"PG-13",37,"Catherine Hardwicke"
"170","22 Jump Street","/movies/?id=21jumpstreet2.htm",191719337,"Sony / Columbia","June","Action Comedy",112,"R",50,"Phil Lord"
"171","Cars 2","/movies/?id=cars2.htm",191452396,"Buena Vista","June","Animation",113,"G",200,"John Lasseter"
"172","Teenage Mutant Ninja Turtles (2014)","/movies/?id=tmnt2013.htm",191204754,"Paramount","August","Action / Adventure",101,"PG-13",125,"Jonathan Liebesman"
"173","Men in Black II","/movies/?id=meninblack2.htm",190418803,"Sony / Columbia","July","Sci-Fi Comedy",88,"PG-13",140,"Barry Sonnenfeld"
"174","Wreck-It Ralph","/movies/?id=rebootralph.htm",189422889,"Buena Vista","November","Animation",108,"PG",165,"Rich Moore"
"175","Interstellar","/movies/?id=interstellar.htm",188020017,"Paramount","November","Sci-Fi Adventure",169,"PG-13",165,"Christopher Nolan"
"176","Gladiator","/movies/?id=gladiator.htm",187705427,"DreamWorks","May","Historical Epic",155,"R",103,"Ridley Scott"
"177","The Croods","/movies/?id=croods.htm",187168425,"Fox","March","Animation",98,"PG",135,"Kirk De Micco"
"178","Sherlock Holmes: A Game of Shadows","/movies/?id=sherlockholmes2.htm",186848418,"Warner Bros.","December","Adventure",128,"PG-13",NA,"Guy Ritchie"
"179","The Day After Tomorrow","/movies/?id=dayaftertomorrow.htm",186740799,"Fox","May","Action Drama",124,"PG-13",125,"Roland Emmerich"
"180","Mr. & Mrs. Smith","/movies/?id=mrandmrssmith.htm",186336279,"Fox","June","Action Comedy",115,"PG-13",110,"Doug Liman"
"181","Pitch Perfect 2","/movies/?id=pitchperfect2.htm",184296230,"Universal","May","Comedy",115,"PG-13",29,"Elizabeth Banks"
"182","The Revenant","/movies/?id=revenant.htm",183637894,"Fox","December","Action / Adventure",151,"R",135,"Alejandro González Iñárritu"
"183","Ocean's Eleven","/movies/?id=oceanseleven.htm",183417150,"Warner Bros.","December","Crime Comedy",116,"PG-13",85,"Steven Soderbergh"
"184","The Simpsons Movie","/movies/?id=simpsons.htm",183135014,"Fox","July","Animation",87,"PG-13",75,"David Silverman"
"185","What Women Want","/movies/?id=whatwomenwant.htm",182811707,"Paramount","December","Fantasy Comedy",127,"PG-13",70,"Nancy Meyers"
"186","The Perfect Storm","/movies/?id=perfectstorm.htm",182618434,"Warner Bros.","June","Action Drama",129,"PG-13",140,"Wolfgang Petersen"
"187","Lincoln","/movies/?id=lincoln.htm",182207973,"Buena Vista","November","Historical Drama",145,"PG-13",65,"Steven Spielberg"
"188","Liar Liar","/movies/?id=liarliar.htm",181410615,"Universal","March","Fantasy Comedy",86,"PG-13",NA,"Tom Shadyac"
"189","Jurassic Park III","/movies/?id=jurassicpark3.htm",181171875,"Universal","July","Sci-Fi Horror",92,"PG-13",93,"Joe Johnston"
"190","Thor","/movies/?id=thor.htm",181030624,"Paramount","May","Action / Adventure",115,"PG-13",150,"Kenneth Branagh"
"191","Mission: Impossible","/movies/?id=missionimpossible.htm",180981856,"Paramount","May","Action",110,"PG-13",80,"Brian De Palma"
"192","Ant-Man","/movies/?id=antman.htm",180202163,"Buena Vista","July","Action / Adventure",117,"PG-13",130,"Peyton Reed"
"193","Planet of the Apes (2001)","/movies/?id=planetoftheapes01.htm",180011740,"Fox","July","Sci-Fi Action",119,"PG-13",100,"Tim Burton"
"194","Madagascar: Escape 2 Africa","/movies/?id=madagascar2.htm",180010950,"Paramount (DreamWorks)","November","Animation",89,"PG",150,"Eric Darnell"
"195","X-Men Origins: Wolverine","/movies/?id=wolverine.htm",179883157,"Fox","May","Action / Adventure",107,"PG-13",150,"Gavin Hood"
"196","Hitch","/movies/?id=hitch.htm",179495555,"Sony / Columbia","February","Romantic Comedy",115,"PG-13",70,"Andy Tennant"
"197","MIB 3","/movies/?id=mib3.htm",179020854,"Sony / Columbia","May","Sci-Fi Comedy",106,"PG-13",225,"Barry Sonnenfeld"
"198","Home (2015)","/movies/?id=happysmekday.htm",177397510,"Fox","March","Animation",94,"PG",135,"Tim Johnson"
"199","Night at the Museum: Battle of the Smithsonian","/movies/?id=nightatthemuseum2.htm",177243721,"Fox","May","Family Adventure",105,"PG",150,"Shawn Levy"
"200","How to Train Your Dragon 2","/movies/?id=howtotrainyourdragon2.htm",177002924,"Fox","June","Animation",105,"PG",145,"Dean DeBlois"
"201","Rise of the Planet of the Apes","/movies/?id=riseoftheapes.htm",176760185,"Fox","August","Sci-Fi Action",110,"PG-13",93,"Rupert Wyatt"
