"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"9067","The Fiance","/movies/?id=thefiance.htm",23986,"Indican","November","Horror",79,"Unrated",NA,NA
"9068","On Broadway","/movies/?id=onbroadway.htm",23968,"Unknown","March","Drama",98,"Unrated",NA,NA
"9069","Harry Dean Stanton: Partly Fiction","/movies/?id=harrydeanstanton.htm",23959,"Adopt Films","September","Documentary",77,"Unrated",NA,NA
"9070","Chicago Cab","/movies/?id=chicagocab.htm",23946,"Castle Hill","September","Unknown",93,"R",NA,NA
"9071","Sunflower","/movies/?id=sunflower.htm",23919,"New Yorker","August","Foreign",129,"Unrated",NA,NA
"9072","Shut Up Little Man","/movies/?id=shutuplittleman.htm",23901,"Tribeca Film","August","Documentary",90,"Unrated",NA,NA
"9073","Dear Mr. Watterson","/movies/?id=drmrwatterson.htm",23899,"Submarine Deluxe","November","Documentary",99,"Unrated",NA,NA
"9074","Behind the Burly Q","/movies/?id=behindtheburlyq.htm",23889,"First Run","April","Documentary",98,"Unrated",NA,NA
"9075","Happy Valley (2014)","/movies/?id=happyvalley2014.htm",23868,"Music Box Films","November","Documentary",98,"Unrated",NA,NA
"9076","Rory O'Shea Was Here","/movies/?id=roryosheawashere.htm",23844,"Focus Features","February","Comedy / Drama",104,"R",NA,NA
"9077","Forever","/movies/?id=forever.htm",23828,"Icarus Films","September","Documentary",95,"Unrated",NA,NA
"9078","Liars Club","/movies/?id=liarsclub.htm",23792,"Odyssey","September","Unknown",99,"R",NA,NA
"9079","Emmanuel's Gift","/movies/?id=emmanuelsgift.htm",23728,"First Look","October","Documentary",80,"G",NA,NA
"9080","Videocracy","/movies/?id=videocracy.htm",23720,"Kino","February","Documentary",85,"Unrated",NA,NA
"9081","Greenwich Village: Music That Defined a Generation","/movies/?id=greenwichvillage.htm",23701,"Kino Lorber","January","Documentary",121,"Unrated",NA,NA
"9082","Woman on the Beach","/movies/?id=womanonthebeach.htm",23686,"New Yorker","January","Foreign",100,"Unrated",NA,NA
"9083","Raw Faith","/movies/?id=rawfaith.htm",23667,"Alive Mind Cinema","June","Documentary",94,"Unrated",NA,NA
"9084","Southbound","/movies/?id=southbound.htm",23665,"The Orchard","February","Horror Thriller",89,"R",NA,NA
"9085","All the Queen's Men","/movies/?id=allthequeensmen.htm",23662,"Strand","October","Unknown",105,"Unrated",15,NA
"9086","Sex and Death 101","/movies/?id=sexanddeath101.htm",23624,"Anchor Bay Films","April","Comedy",100,"R",NA,NA
"9087","Arnold's Park","/movies/?id=arnoldspark.htm",23616,"Movie Partners","July","Thriller",103,"PG-13",NA,NA
"9088","Lost Bohemia","/movies/?id=lostbohemia.htm",23584,"Long Shot Factory","May","Documentary",77,"Unrated",NA,NA
"9089","Arranged","/movies/?id=arranged.htm",23571,"Film Movement","December","Comedy / Drama",90,"Unrated",NA,NA
"9090","Evolution","/movies/?id=evolution2016.htm",23538,"IFC","November","Drama",82,"Not Yet Rated",NA,NA
"9091","Blackboards","/movies/?id=blackboards.htm",23520,"Leisure Time","December","Unknown",85,"Unrated",NA,NA
"9092","Gridiron Heroes","/movies/?id=gridironheroes.htm",23487,"Indican","April","Documentary",77,"Unrated",NA,NA
"9093","In Between Days","/movies/?id=inbetweendays.htm",23465,"Kino","June","Drama",83,"Unrated",NA,NA
"9094","Tiny Times","/movies/?id=tinytimes.htm",23462,"China Lion","July","Foreign",116,"Unrated",NA,NA
"9095","The Sensation of Sight","/movies/?id=sensationofsight.htm",23457,"Monterey Media, Inc.","November","Drama",134,"R",NA,NA
"9096","Il Ne Faut Jurer de Rien","/movies/?id=ilnefautjurerderien.htm",23442,"Alliance","January","Foreign",101,"Unrated",NA,NA
"9097","A Woman, a Part","/movies/?id=awomanapart.htm",23435,"Strand","March","Drama",97,"Unrated",NA,NA
"9098","Believe Me","/movies/?id=believeme.htm",23419,"Riot Studios","September","Comedy",93,"PG-13",NA,NA
"9099","Death in Love","/movies/?id=deathinlove.htm",23412,"Screen Media","July","Drama",97,"R",NA,"Boaz Yakin"
"9100","The Rabbi's Cat","/movies/?id=rabbiscat.htm",23392,"GKIDS","December","Animation",100,"Unrated",NA,NA
"9101","Esther Kahn","/movies/?id=estherkahn.htm",23371,"Empire","March","Unknown",163,"Unrated",NA,NA
"9102","Exterminating Angels","/movies/?id=exterminatingangels.htm",23308,"IFC","March","Foreign",100,"Unrated",NA,NA
"9103","A Tale of Winter (Conte d'hiver)","/movies/?id=taleofwinter.htm",23268,"Big World Pictures","December","Foreign",114,"Unrated",NA,NA
"9104","Can't Stand Losing You: Surviving the Police","/movies/?id=cantstandlosingyou.htm",23262,"Cinema Libre Studio","March","Documentary",79,"Unrated",NA,NA
"9105","Project Itoh - Harmony","/movies/?id=harmony.htm",23248,"FUNimation Films","May","Animation",NA,"Unrated",NA,NA
"9106","Our Children","/movies/?id=ourchildren.htm",23203,"Distrib Films","August","Foreign",111,"Unrated",NA,NA
"9107","Pierrepoint - The Last Hangman","/movies/?id=pierrepoint.htm",23192,"IFC","June","Drama",90,"R",NA,NA
"9108","Fulltime Killer","/movies/?id=fulltimekiller.htm",23124,"Palm","March","Unknown",102,"Unrated",NA,NA
"9109","Finding Oscar","/movies/?id=findingoscar.htm",23116,"FilmRise","April","Documentary",94,"Unrated",NA,NA
"9110","The Iran Job","/movies/?id=iranjob.htm",23115,"Film Movement","June","Documentary",90,"Unrated",NA,NA
"9111","Dear Wendy","/movies/?id=dearwendy.htm",23106,"Wellspring","September","Drama",100,"Unrated",NA,NA
"9112","The Grace of Jake","/movies/?id=graceofjake.htm",23078,"Indican","February","Comedy / Drama",90,"PG",NA,NA
"9113","Hippocrates, Diary of a French Doctor","/movies/?id=hippocratesdiaryofafrenchdoctor.htm",23050,"Distrib Films","June","Drama",102,"Unrated",NA,NA
"9114","History of Jazz: Oxygen for the Ears","/movies/?id=historyofjazz.htm",23048,"Indican","October","Documentary",94,"Unrated",NA,NA
